Voltage,Current,Timestamp,Status
-0.386118,-0.0006452379,9.3e-07,01020041
-0.426373,-0.0006720226,9.35e-07,01020041
-0.450813,-0.0006794988,9.4e-07,01020041
-0.450813,-0.0006873861,9.45e-07,01020041
-0.458001,-0.0006616836,9.5e-07,01020041
-0.466627,-0.0006416923,9.55e-07,01020041
-0.466627,-0.0005943684,9.6e-07,01020041
-0.468065,-0.0005320857,9.65e-07,01020041
-0.482442,-0.0004755129,9.7e-07,01020041
-0.481004,-0.0003955521,9.75e-07,01020041
-0.481004,-0.0003397971,9.8e-07,01020041
-0.472378,-0.0002779236,9.85e-07,01020041
-0.473816,-0.0002204005,9.9e-07,01020041
-0.469503,-0.0001817804,9.95e-07,01020041
-0.468065,-0.0001275214,1e-06,01020041
-0.463752,-0.0001022282,1.005e-06,01020041
-0.466627,-6.76869e-05,1.01e-06,01020041
-0.468065,-4.22569e-05,1.015e-06,"01020041
"
